uuid,paper_uuid
e217b811-05a6-4741-a4a8-7b06b03b0a0e,fc24b776-fcf0-4369-a069-3d82e0f1d69f
4c112571-59b8-4afc-b6cc-63905cc2fbe6,fc24b776-fcf0-4369-a069-3d82e0f1d69f
7674a4d9-6dbf-4ddd-8bae-a76f52aa6998,23b848e4-745b-4aa7-baff-72866d673c02
209032aa-0543-4df5-a01c-6b0cf3778d71,23b848e4-745b-4aa7-baff-72866d673c02
b9c04f44-b974-4a40-b430-6c2d221ccd31,23b848e4-745b-4aa7-baff-72866d673c02
c57f81b5-f0a6-4823-9cbd-3e3c7616f340,23b848e4-745b-4aa7-baff-72866d673c02
09f0abc1-5ccf-4420-975d-ee472044d440,23b848e4-745b-4aa7-baff-72866d673c02
0ef0ba30-0b99-425e-ab5b-3d00471b330e,23b848e4-745b-4aa7-baff-72866d673c02
b0104fe7-01b9-4d5c-8758-6b5af551361d,23b848e4-745b-4aa7-baff-72866d673c02
bb0efeb6-9575-4669-9202-8ffe22c217da,94700b64-e1d8-4716-9bf6-bde5d3a0f26f
0a5ef365-5276-4678-838b-dced517fc55d,94700b64-e1d8-4716-9bf6-bde5d3a0f26f
ae95d101-e5a5-412e-af0b-851d5a2953b7,94700b64-e1d8-4716-9bf6-bde5d3a0f26f
0cd9a734-af8f-44ef-9e95-da89b585e9cf,94700b64-e1d8-4716-9bf6-bde5d3a0f26f
6291b71a-3356-485d-896f-0df85164add2,94700b64-e1d8-4716-9bf6-bde5d3a0f26f
8119878e-1875-4cdf-a6a8-a9025057ddc8,94700b64-e1d8-4716-9bf6-bde5d3a0f26f
90cd58b0-23c4-41b7-bba3-470cbcb889b3,70aa944a-67f8-4c9c-8fe5-8248039a31b7
24c187fd-bc80-460c-914e-95fbd6a1fa55,70aa944a-67f8-4c9c-8fe5-8248039a31b7
310860da-2e42-457f-affd-92449415b7f2,70aa944a-67f8-4c9c-8fe5-8248039a31b7
1e58f4b0-2fcd-440b-a855-d35c9031c088,70aa944a-67f8-4c9c-8fe5-8248039a31b7
de7075f2-8cf5-459f-a754-34684a808d0d,70aa944a-67f8-4c9c-8fe5-8248039a31b7
f8f3c861-7dfe-4fcc-8807-134569a0736c,70aa944a-67f8-4c9c-8fe5-8248039a31b7
7a1d36d3-e95a-4fae-b158-413d066e951f,0b7e5db6-d376-43e6-adde-83a36895cee1
