uuid,First Name,Last Name,Orcid,google_scholar,pubmed,institution_url,gender
172bc1a7-1aea-483f-b0e2-0bace8fbc7bc,Radhika,Khosla,https://orcid.org/0000-0002-7730-8041,https://scholar.google.co.uk/citations?hl=en&user=2lyP93gAAAAJ,,,female
d4d0f3e5-15af-43b0-b4ca-c90cda693919,Yacob,Mulugetta,https://orcid.org/0000-0003-3191-8896,,,,male
50bf80e1-9ef3-4db9-941c-8d1e3035c39f,Youba,Sokona,https://orcid.org/0000-0001-6981-6401,,,,male
50755663-9027-498c-9486-c05b5b3179d9,Samuel,Fankhauser,https://orcid.org/0000-0003-2100-7888,,,,male
fc2c3a3a-f3a9-414d-95b2-c4a90bd3ac40,Jessica,Omukuti,https://orcid.org/0000-0003-3094-8647,,,,female
ad27becd-1f2c-4a93-a512-35860a93eaa3,Lucas,Somavilla Croxatto,https://orcid.org/0000-0003-3995-0241,,,,male
a4e0eb25-4e03-4e38-94e9-b4b42f6bb331,Bjarne,Steffen,https://orcid.org/0000-0003-2219-1402,,,,male
836af3e5-d834-4ebf-beba-7928e3bfda16,Meron,Tesfamichael,,,,,female
bafa06f0-008a-4b6f-8d0b-17e759be130d,Edo,Abraham,https://orcid.org/0000-0003-0989-5456,,,,male
9c18e676-9456-480c-83a6-af8650007212,Jean-Paul,Adam,,,,,male
1aa9158a-96cc-42e8-b467-fc8cf3f9530b,Lawrence,Agbemabiese,,https://scholar.google.co.uk/citations?hl=en&user=U7SkJMIAAAAJ&view_op=list_works&sortby=pubdate,,,male
917baee8-2fff-40b1-b998-0cd72feb42b4,Churchill,Agutu,https://orcid.org/0000-0003-3511-9960,,,,male
c287a480-6c6e-4902-99c4-401bb677c09d,Mekalia Paulos,Aklilu,,,,,female
edad1209-0c00-4fe7-81fe-3c68c296fc94,Olakunle,Alao,,,,https://www.powerfutureslab.co.za/our-team/research-associates/olakunle-alao,male
5288fe5c-856c-4bec-9ac3-a1fcf8403e9c,Bothwell,Batidzirai,https://orcid.org/0000-0002-8570-3287,,,,male
7e71bfeb-d1f8-4302-bf46-d45151e8354d,Getachew,Bekele,,,,http://www.aau.edu.et/aait/academics/school-of-electrical-and-computer-engineering/staffs-of-ece/dr-getachewbekele/,male
b47825d1-7dfb-44dc-b410-f4c79db0b07f,Anteneh G.,Dagnachew,https://orcid.org/0000-0002-6217-9726,,,,male
fc99e62a-52e9-4148-bca6-3afd7c4bcb40,Ogunlade,Davidson,,,,,male
41a919ee-d20c-4663-b459-81cdbbae2a0a,Fatima,Denton,,,,https://unu.edu/experts/fatima-denton.html,female
fa9dcd17-402c-4ee1-a785-c74716517517,E. Ogheneruona,Diemuodeke,https://orcid.org/0000-0002-0133-485X,,,,male
4e5ee501-f49f-4dd5-9177-8ef13deb70f0,Florian,Egli,https://orcid.org/0000-0001-8617-5175,,,,male
a0a89b1b-99be-47a7-8413-9757a587eea4,Eshetu Gebrekidan,Gebresilassie,https://orcid.org/0000-0001-8834-2766,,,,male
4aad7a5a-cf95-40dd-b555-af06d27a42dd,Mulualem,Gebreslassie,https://orcid.org/0000-0002-5509-5866,,,,male
85629629-5aa8-4623-a31f-86b164ae86bb,Mamadou,Goundiam,,,,,male
a46f40ad-ab6d-4df5-b612-fe89935750f8,Haruna Kachalla,Gujba,,,,,male
1be6442f-c612-41f3-8873-92a3e7e3a90f,Yohannes,Hailu,,,,,male
e21abbed-317a-4555-ba1f-d22a759cf3de,Adam D.,Hawkes,https://orcid.org/0000-0001-9720-332X,,,,male
c353c9ec-2b20-4508-8154-054b266c31b6,Stephanie,Hirmer,https://orcid.org/0000-0001-7628-9259,,,https://eng.ox.ac.uk/people/stephanie-hirmer/,female
80fa35fd-2ffc-40f5-adc6-46d37f011aea,Helen,Hoka,https://orcid.org/0000-0001-8697-5471,,,,female
fa2fba20-0201-4010-9f0d-51ddc5c7c662,Mark,Howells,https://orcid.org/0000-0001-6419-4957,,,,male
d9fd3982-9ce7-4bd1-8f78-f85687181f6f,Abdulrasheed,Isah,https://orcid.org/0000-0003-1356-5548,,,,male
1f5fed2e-13d4-4536-9bed-e950618b64a9,Daniel,Kammen,https://orcid.org/0000-0003-2984-7777,,,,male
759ab90b-6fbb-487e-aacb-cc8fe294f44f,Francis,Kemausuor,https://orcid.org/0000-0001-5507-8399,,,,male
0298b509-2850-4dc0-ac11-b09ff5781b09,Ismail,Khennas,,,,,male
924f8e2b-ea50-4598-8440-b35f07e97851,Wikus,Kruger,https://orcid.org/0000-0002-0979-8181,,,https://www.gsb.uct.ac.za/profile/84/wikus-kruger,male
b76b9e7c-e582-4166-82c0-7b81a19b700c,Ifeoma,Malo,,,,,female
c9552e8f-8de3-4a61-82dc-d992d3846990,Linus,Mofor,,,,https://knowledge.uneca.org/experts/full-detail/564,male
10ef32d6-ccac-4e11-8e36-b4f89a3b1b1b,Minette,Nago,,,,,female
b9af5a9c-6bb8-4ce6-9ee4-281793356856,Destenie,Nock,https://orcid.org/0000-0003-1739-7027,,,,female
1729c430-a420-4d30-ba8b-2f1e630a2e46,Chukwumerije,Okereke,,,,https://cccd.funai.edu.ng/team-member/professor-chukwumerije-okereke/,male
3a0f84d6-a90d-4b85-a855-289821858d62,S. Nadia,Ouedraogo,https://orcid.org/0000-0002-6544-6359,https://scholar.google.com/citations?user=T7l0MakAAAAJ&hl=fr,,,female
937d2d45-867e-4f57-8183-ab635f5241e5,Benedict,Probst,https://orcid.org/0000-0002-1149-8938,,,,male
e42d4742-3993-41ea-bd79-249c7bed9a39,Maria,Schmidt,https://orcid.org/0000-0003-0098-5420,,,,female
668edc20-9e2f-420d-b9fc-ae43379bf72e,Tobias S.,Schmidt,https://orcid.org/0000-0002-7971-2187,,,,male
f075419e-f9ac-450c-9c79-d3267c9cf276,Carlos,Shenga,,,,,male
65a7976d-064e-41c7-9fe0-b679d5990180,Mohamed,Sokona,,,,,male
0649ceb4-fa4d-4917-8674-441944b76bde,Jan Christoph,Steckel,https://orcid.org/0000-0002-5325-9214,,,,male
2acc29e1-1ef6-4e52-941a-af89d83b3689,Sebastian,Sterl,https://orcid.org/0000-0003-1078-5561,,,,male
96a3aba7-a5b8-4806-b7e0-845ce83ad0f9,Bernard,Tembo,https://orcid.org/0000-0003-3219-8173,,,,male
b62d3786-7950-414c-8ff3-3c39c5491ec8,Julia,Tomei,https://orcid.org/0000-0002-2156-1603,,,,female
bd7d9824-620b-4b47-b916-de539b3d1065,Peter,Twesigye,https://orcid.org/0000-0001-9802-7938,,,,male
019ec2e3-b12c-4632-a874-d862ba027e20,Jim,Watson,https://orcid.org/0000-0001-8464-1718,,,,male
7fc7c6f2-f4f4-44cb-a5a3-a0bc6703c19c,Harald,Winkler,https://orcid.org/0000-0002-5826-4071,,,,male
e94123fd-7e0b-4460-a786-79e8e35da280,Abdulmutalib,Yussuff,https://orcid.org/0000-0002-9565-305X,,,,male
ee256610-9003-4de0-90a8-70bea740533c,Nisrine,Kebir,,,,,female
0786eaf8-a574-4f97-a872-eee9b0b07619,Alycia,Leonard,https://orcid.org/0000-0002-7072-9150,,,https://eng.ox.ac.uk/people/alycia-leonard/,female
03f91e9a-1e54-4665-9367-ce5e810b603a,Michael,Downey,,,,https://www.aceleronenergy.com/team/michael-downey,male
0734491e-9739-4bf3-b032-c5d227c9974d,Bernie,Jones,,,,https://e4sv.org/about-us-2-2/our-team/bernie-jones/,male
b7676321-8924-4e4c-bacf-552a928f253d,Khaled,Rabie,,,,https://www.mmu.ac.uk/staff/profile/dr-khaled-rabie,male
423751d8-f1d0-457d-bad6-05c285c50c92,Sivapriya Mothilal,Bhagavathy,https://orcid.org/0000-0003-3200-4308,https://scholar.google.com/citations?user=V0OGQukAAAAJ,,,female
9e0f16d9-9cf0-4d4b-8e93-918cac823e6e,Katherine A.,Collett,https://orcid.org/0000-0002-3946-4406,,,,female
2c12f3f2-7c7c-47d0-9079-bea73841775e,Nigel,Yau,,,,,male
aed74553-4e48-4424-a965-c37e165068f0,Cameron,Hepburn,,,,,male
b17156d1-f23f-4221-8958-37ca0e8e09b0,Ioannis,Pappis,https://orcid.org/0000-0001-7537-5470,,,,male
8c7554c9-e946-4e74-abab-4772687f95bf,Andreas,Sahlberg,https://orcid.org/0000-0002-1565-2752,,,,male
